Gene > Primary SGDID	Gene > Systematic Name	Gene > Standard Name	Gene > Name	Gene > Alias	Gene > Length
S000004970	YNL025C	SSN8	Suppressor of SNf1	NUT9 SRB11 GIG3 UME3 CycC RYE2	972
S000004971	YNL026W	SAM50	Sorting and Assembly Machinery	OMP85 TOB55	1455
S000004972	YNL027W	CRZ1	Calcineurin-Responsive Zinc finger	HAL8 TCN1	2037
S000004973	YNL028W	""	""	""	318
S000004974	YNL029C	KTR5	Kre Two Related	""	1569
S000004975	YNL030W	HHF2	Histone H Four	""	312
S000004976	YNL031C	HHT2	Histone H Three	""	411
S000004977	YNL032W	SIW14	Synthetic Interaction with Whi2	OCA3	846
S000004978	YNL033W	""	""	""	855
S000004979	YNL034W	""	""	""	1839
S000004980	YNL035C	""	""	""	1170
S000004981	YNL036W	NCE103	NonClassical Export	carbonate dehydratase NCE103 NCE3	666
S000004982	YNL037C	IDH1	Isocitrate DeHydrogenase	isocitrate dehydrogenase (NAD(+)) IDH1	1083
S000004983	YNL038W	GPI15	GlycosylPhosphatidylInositol anchor biosynthesis	""	764
S000004984	YNL039W	BDP1	B Double Prime	TFIIIB90 B" TFC7 TFC5	1785
S000004985	YNL040W	""	""	putative alanine--tRNA ligase	1371
S000004986	YNL041C	COG6	Conserved Oligomeric Golgi complex	COD2 SEC37	2520
S000004987	YNL042W	BOP3	Bypass Of Pam1	""	1191
S000004988	YNL043C	""	""	""	321
S000004989	YNL044W	YIP3	""	""	610
S000004990	YNL045W	LAP2	Leucine AminoPeptidases	""	2016
S000004991	YNL046W	""	""	""	519
S000004992	YNL047C	SLM2	Synthetic Lethal with Mss4	LIT1	1971
S000004993	YNL048W	ALG11	Asparagine-Linked Glycosylation	alpha-1,2-mannosyltransferase ALG11	1647
S000004994	YNL049C	SFB2	Sed Five Binding	ISS1	2631
S000004995	YNL050C	""	""	""	904
S000004996	YNL051W	COG5	Conserved Oligomeric Golgi complex	COD4 API4	1212
S000004997	YNL052W	COX5A	Cytochrome c OXidase	cytochrome c oxidase subunit Va	462
S000004998	YNL053W	MSG5	Multicopy Suppressor of GPA1	""	1470
S000004999	YNL054W	VAC7	VACuolar segregation	""	3498
S000005000	YNL055C	POR1	PORin	VDAC YVDAC1 OMP2	852
S000005001	YNL056W	OCA2	Oxidant-induced Cell cycle Arrest	""	594
S000005002	YNL057W	""	""	""	333
S000005003	YNL058C	""	""	""	951
S000005004	YNL059C	ARP5	Actin-Related Protein	""	2268
S000005005	YNL061W	NOP2	NucleOlar Protein	YNA1	1857
S000005006	YNL062C	GCD10	General Control Derepressed	TRM6 1-methyladenosine tRNA methyltransferase subunit	1437
S000005007	YNL063W	MTQ1	Methyltransferase	""	945
S000005008	YNL064C	YDJ1	Yeast dnaJ	HSP40 MAS5	1230
S000005009	YNL065W	AQR1	Acids Quinidine Resistance	""	1761
S000005010	YNL066W	SUN4	""	SCW3	1263
S000005011	YNL067W	RPL9B	Ribosomal Protein of the Large subunit	YL11 ribosomal 60S subunit protein L9B L6 L9B L8B rp24	576
S000005012	YNL068C	FKH2	ForK head Homolog	""	2589
S000005013	YNL069C	RPL16B	Ribosomal Protein of the Large subunit	YL15 ribosomal 60S subunit protein L16B L21B L13 RP23 L16B rp23	1046
S000005014	YNL070W	TOM7	Translocase of the Outer Mitochondrial membrane	YOK22 MOM7	183
S000005015	YNL071W	LAT1	""	ODP2 PDA2 dihydrolipoyllysine-residue acetyltransferase	1449
S000005016	YNL072W	RNH201	RNase H	Rnh2A RNH35	924
S000005017	YNL073W	MSK1	Mitochondrial aminoacyl-tRNA Synthetase, lysine (K)	lysine--tRNA ligase MSK1	1731
S000005018	YNL074C	MLF3	Multicopy suppressor of LeFlunomide sensitivity	YMK1	1359
S000005019	YNL075W	IMP4	Interacting with Mpp10p	""	873
S000005020	YNL076W	MKS1	Multicopy Kinase Suppressor	LYS80	1755
S000005021	YNL077W	APJ1	Anti-Prion DnaJ	""	1587
S000005022	YNL078W	NIS1	Neck protein Interacting with Septins	JIP1	1224
S000005023	YNL079C	TPM1	TroPoMyosin	tropomyosin	600
S000005024	YNL080C	EOS1	ER-localized and Oxidants Sensitive	""	1101
S000005025	YNL081C	SWS2	Sick Without Securin	putative mitochondrial 37S ribosomal protein SWS2	432
S000005026	YNL082W	PMS1	PostMeiotic Segregation	""	2622
S000005027	YNL083W	SAL1	Suppressor of Aac2 Lethality	""	1485
S000005028	YNL084C	END3	ENDocytosis defective	""	1050
S000005029	YNL085W	MKT1	Maintenance of K2 Killer Toxin	""	2493
S000005030	YNL086W	SNN1	SNapiN	BLS1	309
S000005031	YNL087W	TCB2	Three Calcium and lipid Binding domains (TriCalBins)	""	3537
S000005032	YNL088W	TOP2	TOPoisomerase	DNA topoisomerase 2 TRF3 TOR3	4287
S000005033	YNL089C	""	""	""	477
S000005034	YNL090W	RHO2	Ras HOmolog	""	579
S000005035	YNL091W	NST1	Negatively affects Salt Tolerance	""	3723
S000005036	YNL092W	""	""	""	1203
S000005037	YNL093W	YPT53	Yeast Protein Two	""	663
S000005038	YNL094W	APP1	Actin Patch Protein	phosphatidate phosphatase APP1	1764
S000005039	YNL095C	""	""	""	1929
S000005040	YNL096C	RPS7B	Ribosomal Protein of the Small subunit	ribosomal 40S subunit protein S7B rp30 S7B S7e	918
S000005041	YNL097C	PHO23	PHOsphate metabolism	""	993
S000005042	YNL098C	RAS2	homologous to RAS proto-oncogene	GLC5 CYR3 CTN5 TSL7	969
S000005043	YNL099C	OCA1	Oxidant-induced Cell-cycle Arrest	""	717
S000005044	YNL100W	AIM37	Altered Inheritance rate of Mitochondria	MCS27	705
S000005045	YNL101W	AVT4	Amino acid Vacuolar Transport	""	2142
S000005046	YNL102W	POL1	POLymerase	CRT5 CDC17 HPR3	4407
S000005047	YNL103W	MET4	METhionine requiring	""	2019
S000005048	YNL104C	LEU4	LEUcine biosynthesis	2-isopropylmalate synthase LEU4	1860
S000005049	YNL105W	RRT16	Regulator of rDNA Transcription	""	429
S000005050	YNL106C	INP52	INositol polyphosphate 5-Phosphatase	phosphatidylinositol-3-/phosphoinositide 5-phosphatase INP52 SJL2	3552
S000005051	YNL107W	YAF9	Yeast homolog of the human leukemogenic protein AF9	""	681
S000005052	YNL108C	""	""	HUF	813
S000005053	YNL109W	""	""	""	546
S000005054	YNL110C	NOP15	NucleOlar Protein	""	663
S000005055	YNL111C	CYB5	CYtochrome B	""	363
S000005056	YNL112W	DBP2	Dead Box Protein	""	2643
S000005057	YNL113W	RPC19	RNA Polymerase C	AC19	429
S000005058	YNL114C	""	""	""	372
S000005059	YNL115C	""	""	""	1935
S000005060	YNL116W	DMA2	Defective in Mitotic Arrest	CHF2 ubiquitin-conjugating protein DMA2	1569
S000005061	YNL117W	MLS1	MaLate Synthase	malate synthase MLS1	1665
S000005062	YNL118C	DCP2	mRNA DeCaPping	PSU1	2913
S000005063	YNL119W	NCS2	Needs Cla4 to Survive	TUC2	1482
S000005064	YNL120C	""	""	""	486
S000005065	YNL121C	TOM70	Translocase of the Outer Mitochondrial membrane	MAS70 OMP1 MOM72	1854
S000005066	YNL122C	""	""	""	348
S000005067	YNL123W	NMA111	Nuclear Mediator of Apoptosis	YNM3	2994
S000005068	YNL124W	NAF1	Nuclear Assembly Factor	""	1479
S000005069	YNL125C	ESBP6	""	MCH3	2022
S000005070	YNL126W	SPC98	Spindle Pole Component	""	2541
S000005071	YNL127W	FAR11	Factor ARrest	""	2862
S000005072	YNL128W	TEP1	TEnsin-like Phosphatase	""	1305
S000005073	YNL129W	NRK1	Nicotinamide Riboside Kinase	ribosylnicotinamide kinase	723
S000005074	YNL130C	CPT1	CholinePhosphoTransferase	diacylglycerol cholinephosphotransferase	1274
S000005075	YNL131W	TOM22	Translocase of the Outer Mitochondrial membrane	MOM22 MAS22 MAS17	459
S000005076	YNL132W	KRE33	Killer toxin REsistant	""	3171
S000005077	YNL133C	FYV6	Function required for Yeast Viability	""	522
S000005078	YNL134C	""	""	""	1131
S000005079	YNL135C	FPR1	Fk 506-sensitive Proline Rotamase	RBP1 peptidylprolyl isomerase FPR1 FKB1	345
S000005080	YNL136W	EAF7	Esa1-Associated Factor	""	1278
S000005081	YNL137C	NAM9	Nuclear Accommodation of Mitochondria	mitochondrial 37S ribosomal protein NAM9 MNA6	1461
S000005082	YNL138W	SRV2	Suppressor of RasVal19	CAP	1581
S000005083	YNL139C	THO2	suppressor of the Transcriptional defect of Hpr1 by Overexpression	LDB5 ZRG13 RLR1	4794
S000005084	YNL140C	""	""	""	570
S000005085	YNL141W	AAH1	Adenine AminoHydrolase	adenine deaminase	1044
S000005086	YNL142W	MEP2	""	""	1500
S000005087	YNL143C	""	""	""	393
S000005088	YNL144C	""	""	""	2223
S000005089	YNL145W	MFA2	Mating Factor A	""	117
S000005090	YNL146W	""	""	""	303
S000005091	YNL147W	LSM7	Like SM	""	444
S000005092	YNL148C	ALF1	ALpha-tubulin Foldin	""	765
S000005093	YNL149C	PGA2	Processing of Gas1p and ALP	""	390
S000005094	YNL150W	""	""	""	408
S000005095	YNL151C	RPC31	RNA Polymerase C	C31 ACP2 RPC8	756
S000005096	YNL152W	INN1	required for INgressioN	""	1230
S000005097	YNL153C	GIM3	Gene Involved in Microtubule biogenesis	PFD4	390
S000005098	YNL154C	YCK2	Yeast Casein Kinase	""	1641
S000005099	YNL155W	""	""	""	825
S000005100	YNL156C	NSG2	""	""	900
S000005101	YNL157W	IGO1	Initiation of G zerO	""	507
S000005102	YNL158W	PGA1	Processing of Gas1p and ALP	""	597
S000005103	YNL159C	ASI2	Amino acid Sensor-Independent	""	870
S000005104	YNL160W	YGP1	Yeast GlycoProtein	""	1065
S000005105	YNL161W	CBK1	Cell wall Biosynthesis Kinase	""	2271
S000005106	YNL162W	RPL42A	Ribosomal Protein of the Large subunit	L44e L42A L41A ribosomal 60S subunit protein L42A YL27	833
S000005107	YNL163C	RIA1	RIbosome Assembly	EFL1	3333
S000005108	YNL164C	IBD2	Inhibition of Bud Division 2	""	1056
S000005109	YNL165W	""	""	""	1221
S000005110	YNL166C	BNI5	Bud Neck Involved	""	1347
S000005111	YNL167C	SKO1	Suppressor of Kinase Overexpression	ACR1	1944
S000005112	YNL168C	FMP41	Found in Mitochondrial Proteome	""	780
S000005113	YNL169C	PSD1	PhosphatidylSerine Decarboxylase	phosphatidylserine decarboxylase 1	1503
S000005114	YNL170W	""	""	""	396
S000005115	YNL171C	""	""	""	369
S000005116	YNL172W	APC1	Anaphase Promoting Complex subunit	anaphase promoting complex subunit 1	5247
S000005117	YNL173C	MDG1	Multicopy suppressor of Defective G-protein	""	1101
S000005118	YNL174W	""	""	""	573
S000005119	YNL175C	NOP13	NucleOlar Protein	""	1212
S000005120	YNL176C	TDA7	Topoisomerase I Damage Affected	""	1911
S000005121	YNL177C	MRPL22	Mitochondrial Ribosomal Protein, Large subunit	YmL22 mitochondrial 54S ribosomal protein YmL22	930
S000005122	YNL178W	RPS3	Ribosomal Protein of the Small subunit	S3 rp13 ribosomal 40S subunit protein S3 SUF14 YS3	723
S000005123	YNL179C	""	""	SRF6	438
S000005124	YNL180C	RHO5	Ras HOmolog	YNS0	996
S000005125	YNL181W	""	""	""	1224
S000005126	YNL182C	IPI3	Involved in Processing ITS2	""	1668
S000005127	YNL183C	NPR1	Nitrogen Permease Reactivator	""	2373
S000005128	YNL184C	""	""	""	327
S000005129	YNL185C	MRPL19	Mitochondrial Ribosomal Protein, Large subunit	mitochondrial 54S ribosomal protein YmL19 YmL19	477
S000005130	YNL186W	UBP10	UBiquitin-specific Protease	DOT4	2379
S000005131	YNL187W	SWT21	Synthetic With Tgs1	""	1074
S000005132	YNL188W	KAR1	KARyogamy	""	1302
S000005133	YNL189W	SRP1	Suppressor of rpb1	KAP60 SCM1	1629
S000005134	YNL190W	""	""	""	615
S000005135	YNL191W	DUG3	Deficient in Utilization of Glutathione	glutamine amidotransferase subunit DUG3	1074
S000005136	YNL192W	CHS1	CHitin Synthase	chitin synthase CHS1 USA4	3396
S000005137	YNL193W	""	""	""	1677
S000005138	YNL194C	""	""	""	906
S000005139	YNL195C	""	""	""	786
S000005140	YNL196C	SLZ1	""	""	897
S000005141	YNL197C	WHI3	WHIskey	""	1986
S000005142	YNL198C	""	""	""	303
S000005143	YNL199C	GCR2	GlyColysis Regulation	""	1605
S000005144	YNL200C	""	""	NADHX epimerase	741
S000005145	YNL201C	PSY2	Platinum SensitivitY	""	2577
S000005146	YNL202W	SPS19	SPorulation Specific transcript	SPX19 2,4-dienoyl-CoA reductase	879
S000005147	YNL203C	""	""	""	612
S000005148	YNL204C	SPS18	SPorulation Specific	SPX18	903
S000005149	YNL205C	""	""	""	423
S000005150	YNL206C	RTT106	Regulator of Ty1 Transposition	""	1368
S000005151	YNL207W	RIO2	RIght Open reading frame	""	1278
S000005152	YNL208W	""	""	""	600
S000005153	YNL209W	SSB2	Stress-Seventy subfamily B	YG103 Hsp70 family ATPase SSB2	1842
S000005154	YNL210W	MER1	MEiotic Recombination	""	813
S000005155	YNL211C	""	""	""	261
S000005156	YNL212W	VID27	Vacuolar Import and Degradation	""	2349
S000005157	YNL213C	RRG9	Required for Respiratory Growth	""	645
S000005158	YNL214W	PEX17	PEroXisome related	PAS9	600
S000005159	YNL215W	IES2	Ino Eighty Subunit	""	963
S000005160	YNL216W	RAP1	Repressor Activator Protein	GRF1 TBA1 TUF1	2484
S000005161	YNL217W	""	""	putative serine/threonine-protein phosphatase	981
S000005162	YNL218W	MGS1	Maintenance of Genome Stability	ssDNA-dependent ATPase MGS1	1764
S000005163	YNL219C	ALG9	Asparagine-Linked Glycosylation	dolichyl-P-Man:Man(6)GlcNAc(2)-PP-dolichol alpha-1,2-mannosyltransferase	1668
S000005164	YNL220W	ADE12	ADEnine requiring	adenylosuccinate synthase BRA9	1302
S000005165	YNL221C	POP1	Processing Of Precursor RNAs	""	2628
S000005166	YNL222W	SSU72	Suppressor of SUa7, gene 2	""	621
S000005167	YNL223W	ATG4	AuTophaGy related	APG4 AUT2	1485
S000005168	YNL224C	SQS1	SQuelch of Splicing suppression	PFA1	2304
S000005169	YNL225C	CNM67	Chaotic Nuclear Migration	""	1746
S000005170	YNL226W	""	""	""	411
S000005171	YNL227C	JJJ1	J-protein (Type III)	""	1773
S000005172	YNL228W	""	""	""	777
S000005173	YNL229C	URE2	UREidosuccinate transport	[URE3]	1065
S000005174	YNL230C	ELA1	ELongin A	elongin A	1140
S000005175	YNL231C	PDR16	Pleiotropic Drug Resistance	SFH3	1056
S000005176	YNL232W	CSL4	Cep1 Synthetic Lethal	SKI4	879
S000005177	YNL233W	BNI4	Bud Neck Involved	""	2679
S000005178	YNL234W	""	""	""	1281
S000005179	YNL235C	""	""	""	432
S000005180	YNL236W	SIN4	Switch INdependent	MED16 RYE1 TSF3 SSN4 SSF5 SDI3 GAL22 BEL2	2925
S000005181	YNL237W	YTP1	Yeast putative Transmembrane Protein	""	1380
S000005182	YNL238W	KEX2	Killer EXpression defective	SRB1 kexin VMA45 QDS1 yscF	2445
S000005183	YNL239W	LAP3	Leucine AminoPeptidases	GAL6 YCP1 BLH1	1365
S000005184	YNL240C	NAR1	Nuclear Architecture Related	""	1476
S000005185	YNL241C	ZWF1	ZWischenFerment	MET19 POS10 glucose-6-phosphate dehydrogenase	1518
S000005186	YNL242W	ATG2	AuTophaGy related	APG2 AUT8 SPO72	4779
S000005187	YNL243W	SLA2	Synthetic Lethal with ABP1	MOP2 END4	2907
S000005188	YNL244C	SUI1	SUppressor of Initiator codon	RFR1 MOF2	327
S000005189	YNL245C	CWC25	Complexed With Cef1p	""	540
S000005190	YNL246W	VPS75	Vacuolar Protein Sorting	""	890
S000005191	YNL247W	""	""	cysteine--tRNA ligase	2304
S000005192	YNL248C	RPA49	RNA Polymerase A	A49	1248
S000005193	YNL249C	MPA43	Multicopy PDC1 Activator	""	1629
S000005194	YNL250W	RAD50	RADiation sensitive	""	3939
S000005195	YNL251C	NRD1	Nuclear pre-mRNA Down-regulation	""	1728
S000005196	YNL252C	MRPL17	Mitochondrial Ribosomal Protein, Large subunit	mitochondrial 54S ribosomal protein YmL17/YmL30 YmL17 YmL30 MRPL30	846
S000005197	YNL253W	TEX1	TrEX component	""	1269
S000005198	YNL254C	RTC4	Restriction of Telomere Capping	""	1206
S000005199	YNL255C	GIS2	GIg Suppressor	""	462
S000005200	YNL256W	FOL1	FOLic acid synthesis	trifunctional dihydropteroate synthetase/dihydrohydroxymethylpterin pyrophosphokinase/dihydroneopterin aldolase FOL1	2475
S000005201	YNL257C	SIP3	SNF1-Interacting Protein	""	3690
S000005202	YNL258C	DSL1	Dependence on SLy1-20	RNS1	2265
S000005203	YNL259C	ATX1	AnTioXidant	""	222
S000005204	YNL260C	LTO1	required for biogenesis of the Large ribosomal subunit and initiation of Translation in Oxygen	""	597
S000005205	YNL261W	ORC5	Origin Recognition Complex	origin recognition complex subunit 5	1440
S000005206	YNL262W	POL2	POLymerase	DUN2	6669
S000005207	YNL263C	YIF1	YIP1-Interacting Factor	""	945
S000005208	YNL264C	PDR17	Pleiotropic Drug Resistance	SFH4 ISS1	1053
S000005209	YNL265C	IST1	Increased Sodium Tolerance	""	1002
S000005210	YNL266W	""	""	""	420
S000005211	YNL267W	PIK1	Phosphatidyl Inositol Kinase	1-phosphatidylinositol 4-kinase PIK120 PIK41	3201
S000005212	YNL268W	LYP1	""	""	1836
S000005213	YNL269W	BSC4	Bypass of Stop Codon	""	396
S000005214	YNL270C	ALP1	""	APL1	1722
S000005215	YNL271C	BNI1	Bud Neck Involved	PPF3 SHE5	5862
S000005216	YNL272C	SEC2	SECretory	""	2280
S000005217	YNL273W	TOF1	TOpoisomerase I-interacting Factor	""	3717
S000005218	YNL274C	GOR1	GlyOxylate Reductase	""	1053
S000005219	YNL275W	BOR1	BORon transporter	""	1731
S000005220	YNL276C	""	""	""	396
S000005221	YNL277W	MET2	METhionine requiring	homoserine O-acetyltransferase	1461
S000005222	YNL278W	CAF120	CCR4 Associated Factor	""	3183
S000005223	YNL279W	PRM1	Pheromone-Regulated Membrane protein	""	1986
S000005224	YNL280C	ERG24	ERGosterol biosynthesis	delta(14)-sterol reductase	1317
S000005225	YNL281W	HCH1	High-Copy Hsp90 suppressor	""	462
S000005226	YNL282W	POP3	Processing Of Precursor RNAs	""	588
S000005227	YNL283C	WSC2	cell Wall integrity and Stress response Component	STA3	1512
S000005228	YNL284C	MRPL10	Mitochondrial Ribosomal Protein, Large subunit	YmL18 YmL10 mitochondrial 54S ribosomal protein YmL10/YmL18 MRPL18	969
S000005229	YNL285W	""	""	""	372
S000005230	YNL286W	CUS2	Cold sensitive U2 snRNA Suppressor	""	858
S000005231	YNL287W	SEC21	SECretory	""	2808
S000005232	YNL288W	CAF40	CCR4 Associated Factor	CCR4-NOT core subunit CAF40	1122
S000005233	YNL289W	PCL1	Pho85 CycLin	HCS26	840
S000005234	YNL290W	RFC3	Replication Factor C	replication factor C subunit 3	1023
S000005235	YNL291C	MID1	Mating pheromone-Induced Death	""	1647
S000005236	YNL292W	PUS4	PseudoUridine Synthase	pseudouridine synthase PUS4	1212
S000005237	YNL293W	MSB3	Multicopy Suppressor of Bud Emergence	GYP3	1902
S000005238	YNL294C	RIM21	Regulator of IME2	PAL2	1602
S000005239	YNL295W	""	""	""	1575
S000005240	YNL296W	""	""	""	315
S000005241	YNL297C	MON2	MONensin sensitivity	YSL2	4911
S000005242	YNL298W	CLA4	CLn Activity dependant	ERC10	2529
S000005243	YNL299W	TRF5	Topoisomerase one-Related Function	non-canonical poly(A) polymerase TRF5	1929
S000005244	YNL300W	TOS6	""	""	309
S000005245	YNL301C	RPL18B	Ribosomal Protein of the Large subunit	L18B ribosomal 60S subunit protein L18B L18e rp28B RP28B	993
S000005246	YNL302C	RPS19B	Ribosomal Protein of the Small subunit	S16aB S19B ribosomal 40S subunit protein S19B S19e RP55B YS16B rp55B	986
S000005247	YNL303W	""	""	""	348
S000005248	YNL304W	YPT11	Yeast Protein Two	""	1254
S000005249	YNL305C	BXI1	BaX Inhibitor	YBH3	894
S000005250	YNL306W	MRPS18	Mitochondrial Ribosomal Protein, Small subunit	mitochondrial 37S ribosomal protein YmS18 YmS18	654
S000005251	YNL307C	MCK1	Meiotic and Centromere regulatory ser, tyr-Kinase	YPK1 CMS1	1128
S000005252	YNL308C	KRI1	KRRI-Interacting protein	""	1776
S000005253	YNL309W	STB1	Sin Three Binding protein	""	1263
S000005254	YNL310C	ZIM17	ZInc finger Motif protein of 17 kDa	HEP1 TIM15 FMP28	525
S000005255	YNL311C	SKP2	homology with human SKP2	putative SCF ubiquitin ligase complex subunit SKP2	2292
S000005256	YNL312W	RFA2	Replication Factor A	RPA32 BUF1 RPA2	930
S000005257	YNL313C	EMW1	Essential for Maintenance of the cell Wall	""	2715
S000005258	YNL314W	DAL82	Degradation of Allantoin	DURM	768
S000005259	YNL315C	ATP11	ATP synthase	""	957
S000005260	YNL316C	PHA2	PHenylAlanine requiring	prephenate dehydratase PHA2	1005
S000005261	YNL317W	PFS2	Polyadenylation Factor Subunit	""	1398
S000005262	YNL318C	HXT14	HeXose Transporter	""	1623
S000005263	YNL319W	""	""	""	441
S000005264	YNL320W	""	""	""	855
S000005265	YNL321W	VNX1	Vacuolar Na+/H+ eXchanger	""	2727
S000005266	YNL322C	KRE1	Killer toxin REsistant	""	942
S000005267	YNL323W	LEM3	Ligand-Effect Modulator	BRE3 ROS3	1245
S000005268	YNL324W	""	""	""	396
S000005269	YNL325C	FIG4	Factor-Induced Gene	phosphatidylinositol-3,5-bisphosphate 5-phosphatase	2640
S000005270	YNL326C	PFA3	Protein Fatty Acyltransferase	""	1011
S000005271	YNL327W	EGT2	 	""	3126
S000005272	YNL328C	MDJ2	""	""	441
S000005273	YNL329C	PEX6	PEroXin	PAS8 AAA family ATPase peroxin 6	3093
S000005274	YNL330C	RPD3	Reduced Potassium Dependency	SDS6 REC3 MOF6 SDI2	1302
S000005275	YNL331C	AAD14	Aryl-Alcohol Dehydrogenase	""	1131
S000005276	YNL332W	THI12	THIamine metabolism	""	1023
S000005277	YNL333W	SNZ2	SNooZe	""	897
S000005278	YNL334C	SNO2	SNZ proximal Open reading frame	""	669
S000005279	YNL335W	DDI3	DNA Damage Inducible	""	678
S000005280	YNL336W	COS1	COnserved Sequence	""	1146
S000005281	YNL337W	""	""	""	255
S000005282	YNL338W	""	""	""	159
S000005283	YNL339C	YRF1-6	""	Y' element ATP-dependent helicase protein 1 copy 6 YRF1	5728
S000005284	YNR001C	CIT1	CITrate synthase	LYS6 citrate (Si)-synthase CIT1 CS1	1440
S000005285	YNR002C	ATO2	Ammonia (Ammonium) Transport Outward	FUN34	849
S000005286	YNR003C	RPC34	RNA Polymerase C	C34	954
S000005287	YNR004W	SWM2	Synthetic With mud2-delta	""	441
S000005288	YNR005C	""	""	""	405
S000005289	YNR006W	VPS27	Vacuolar Protein Sorting	DID7 VPT27 VPL23 SSV17 GRD11	1869
S000005290	YNR007C	ATG3	AuTophaGy related	AUT1 APG3	933
S000005291	YNR008W	LRO1	Lecithin cholesterol acyl transferase Related Open reading frame	phospholipid:diacylglycerol acyltransferase	1986
S000005292	YNR009W	NRM1	Negative Regulator of MBF targets	""	750
S000005293	YNR010W	CSE2	Chromosome SEgregation	MED9	450
S000005294	YNR011C	PRP2	Pre-mRNA Processing	DEAH-box RNA-dependent ATPase PRP2 RNA2	2631
S000005295	YNR012W	URK1	URidine Kinase	uridine kinase URK1	1506
S000005296	YNR013C	PHO91	PHOsphate metabolism	""	2685
S000005297	YNR014W	""	""	""	639
S000005298	YNR015W	SMM1	Suppressor of Mitochondrial Mutation	DUS2	1155
S000005299	YNR016C	ACC1	Acetyl-CoA Carboxylase	MTR7 FAS3 acetyl-CoA carboxylase ACC1 ABP2	6702
S000005300	YNR017W	TIM23	Translocase of the Inner Mitochondrial membrane	MPI3 MAS6 MIM23	669
S000005301	YNR018W	RCF2	Respiratory superComplex Factor	AIM38	675
S000005302	YNR019W	ARE2	Acyl-coenzyme A: cholesterol acyl transferase-Related Enzyme	SAT1	1929
S000005303	YNR020C	ATP23	""	""	813
S000005304	YNR021W	""	""	""	1215
S000005305	YNR022C	MRPL50	Mitochondrial Ribosomal Protein, Large subunit	mitochondrial 54S ribosomal protein MRPL50	420
S000005306	YNR023W	SNF12	Sucrose NonFermenting	SWP73	1701
S000005307	YNR024W	MPP6	M-Phase Phosphoprotein 6 homologue	""	561
S000005308	YNR025C	""	""	""	360
S000005309	YNR026C	SEC12	SECretory	SED2	1416
S000005310	YNR027W	BUD17	BUD site selection	putative pyridoxal kinase BUD17	954
S000005311	YNR028W	CPR8	Cyclosporin-sensitive Proline Rotamase	peptidylprolyl isomerase family protein CPR8	927
S000005312	YNR029C	""	""	""	1290
S000005313	YNR030W	ALG12	Asparagine-Linked Glycosylation	dolichyl-P-Man:Man(7)GlcNAc(2)-PP-dolichol alpha-1,6-mannosyltransferase ECM39	1656
S000005314	YNR031C	SSK2	Suppressor of Sensor Kinase	""	4740
S000005315	YNR032W	PPG1	Protein Phosphatase involved in Glycogen accumulation	""	1107
S000005316	YNR033W	ABZ1	para-AminoBenZoic acid (PABA) biosynthesis	4-amino-4-deoxychorismate synthase	2364
S000005317	YNR034W	SOL1	Suppressor Of Los1-1	""	966
S000005318	YNR035C	ARC35	ARp2/3 Complex subunit	END9	1029
S000005319	YNR036C	MRPS12	Mitochondrial Ribosomal Protein, Small subunit	putative mitochondrial 37S ribosomal protein MRPS12	462
S000005320	YNR037C	RSM19	Ribosomal Small subunit of Mitochondria	mitochondrial 37S ribosomal protein RSM19	276
S000005321	YNR038W	DBP6	Dead Box Protein	""	1890
S000005322	YNR039C	ZRG17	Zinc Regulated Gene	Zn(2+) transporter ZRG17	1818
S000005323	YNR040W	""	""	""	771
S000005324	YNR041C	COQ2	COenzyme Q	4-hydroxybenzoate octaprenyltransferase	1119
S000005325	YNR042W	""	""	""	429
S000005326	YNR043W	MVD1	MeValonate pyrophosphate Decarboxylase	diphosphomevalonate decarboxylase MVD1 ERG19	1191
S000005327	YNR044W	AGA1	a cell-specific sexual AGglutination	a-agglutinin anchorage subunit	2178
S000005328	YNR045W	PET494	PETite colonies	""	1470
S000005329	YNR046W	TRM112	TRna Methyltransferase	""	408
S000005330	YNR047W	FPK1	FliPase Kinase 1	""	2682
S000005331	YNR048W	""	""	CRF1	1182
S000005332	YNR049C	MSO1	Multicopy suppressor of Sec One	""	633
S000005333	YNR050C	LYS9	LYSine requiring	saccharopine dehydrogenase (NADP+, L-glutamate-forming) LYS13	1341
S000005334	YNR051C	BRE5	BREfeldin A sensitivity	""	1548
S000005335	YNR052C	POP2	PGK promoter directed OverProduction	CAF1	1302
S000005336	YNR053C	NOG2	NucleOlar G-protein	NUG2	1993
S000005337	YNR054C	ESF2	Eighteen S rRNA Factor 2	ABT1	951
S000005338	YNR055C	HOL1	HistidinOl	""	1761
S000005339	YNR056C	BIO5	BIOtin	""	1686
S000005340	YNR057C	BIO4	BIOtin	dethiobiotin synthase	714
S000005341	YNR058W	BIO3	BIOtin	adenosylmethionine-8-amino-7-oxononanoate transaminase	1443
S000005342	YNR059W	MNT4	MaNnosylTransferase	""	1743
S000005343	YNR060W	FRE4	Ferric REductase	""	2160
S000005344	YNR061C	""	""	""	660
S000005345	YNR062C	""	""	""	984
S000005346	YNR063W	""	""	""	1824
S000005347	YNR064C	""	""	epoxide hydrolase	873
S000005348	YNR065C	""	""	YSN1	3351
S000005349	YNR066C	""	""	""	1311
S000005350	YNR067C	DSE4	Daughter Specific Expression	ENG1	3354
S000005351	YNR068C	""	""	BUL3	819
S000005352	YNR069C	BSC5	Bypass of Stop Codon	BUL3	1470
